210374	-5	-2		
210426	-5	-1.857		
210478	-5	-1.714		
210534	-5	-1.571		
210587	-5	-1.429		
210641	-5	-1.286		
210698	-5	-1.143		
210755	-5	-1		
210822	-5	-0.857		
210881	-5	-0.714		
210937	-5	-0.571		
210996	-5	-0.429		
211076	-5	-0.286		
211138	-5	-0.143		
211193	-5	0		
211246	-4.999	0.115		
211291	-4.995	0.231		
211361	-4.988	0.346		
211421	-4.979	0.461		
211479	-4.967	0.576		
211537	-4.952	0.691		
211607	-4.935	0.805		
211676	-4.915	0.919		
211734	-4.892	1.032		
211817	-4.867	1.145		
211893	-4.839	1.257		
211977	-4.809	1.368		
212063	-4.776	1.479		
212142	-4.741	1.589		
212227	-4.703	1.698		
212319	-4.663	1.806		
212402	-4.62	1.913		
212501	-4.574	2.019		
212591	-4.527	2.123		
212698	-4.477	2.227		
212791	-4.424	2.329		
212897	-4.37	2.43		
213015	-4.314	2.528		
213122	-4.255	2.626		
213250	-4.195	2.72		
213360	-4.134	2.813		
213481	-4.072	2.902		
213621	-4.008	2.989		
213744	-3.948	3.068		
213864	-3.886	3.147		
213976	-3.832	3.212		
214079	-3.777	3.277		
214208	-3.722	3.339		
214327	-3.666	3.4		
214461	-3.601	3.469		
214593	-3.536	3.536		
214754	-3.453	3.616		
214929	-3.368	3.695		
215098	-3.282	3.772		
215252	-3.194	3.847		
215426	-3.105	3.919		
215599	-3.013	3.99		
215764	-2.92	4.059		
215924	-2.826	4.125		
216090	-2.73	4.189		
216249	-2.632	4.251		
216416	-2.533	4.311		
216575	-2.433	4.368		
216729	-2.332	4.423		
216887	-2.229	4.476		
217056	-2.125	4.526		
217213	-2.02	4.574		
217382	-1.913	4.619		
217526	-1.806	4.662		
217685	-1.698	4.703		
217845	-1.589	4.741		
217992	-1.479	4.776		
218144	-1.368	4.809		
218282	-1.257	4.839		
218427	-1.145	4.867		
218565	-1.032	4.892		
218705	-0.919	4.915		
218837	-0.805	4.935		
218966	-0.691	4.952		
219099	-0.576	4.967		
219229	-0.461	4.979		
219352	-0.346	4.988		
219477	-0.231	4.995		
219586	-0.115	4.999		
219715	0	5		
219830	0.115	4.999		
219937	0.231	4.995		
220039	0.346	4.988		
220141	0.461	4.979		
220255	0.576	4.967		
220354	0.691	4.952		
220450	0.805	4.935		
220550	0.919	4.915		
220631	1.032	4.892		
220722	1.145	4.867		
220811	1.257	4.839		
220902	1.368	4.809		
220985	1.479	4.776		
221065	1.589	4.741		
221147	1.698	4.703		
221218	1.806	4.662		
221285	1.913	4.619		
221365	2.02	4.574		
221435	2.125	4.526		
221499	2.229	4.476		
221564	2.332	4.423		
221618	2.433	4.368		
221675	2.533	4.311		
221728	2.632	4.251		
221772	2.73	4.189		
221823	2.826	4.125		
221871	2.92	4.059		
221919	3.013	3.99		
221959	3.105	3.919		
221998	3.194	3.847		
222030	3.282	3.772		
222062	3.368	3.695		
222090	3.453	3.616		
222119	3.536	3.536		
222139	3.616	3.453		
222163	3.695	3.369		
222182	3.771	3.283		
222195	3.846	3.195		
222210	3.919	3.106		
222218	3.989	3.015		
222224	4.057	2.922		
222233	4.123	2.829		
222237	4.186	2.734		
222244	4.247	2.638		
222246	4.305	2.543		
222241	4.361	2.446		
222235	4.413	2.351		
222231	4.463	2.255		
222222	4.508	2.164		
222217	4.55	2.072		
222209	4.586	1.993		
222198	4.619	1.913		
222187	4.652	1.833		
222178	4.683	1.752		
222159	4.717	1.657		
222137	4.75	1.562		
222121	4.783	1.458		
222093	4.813	1.354		
222066	4.842	1.246		
222034	4.869	1.138		
222006	4.893	1.027		
221967	4.916	0.915		
221924	4.935	0.802		
221890	4.952	0.689		
221828	4.967	0.575		
221786	4.979	0.46		
221743	4.988	0.346		
221684	4.995	0.231		
221633	4.999	0.115		
221574	5	0		
221500	5	-0.143		
221423	5	-0.286		
221348	5	-0.429		
221269	5	-0.571		
221192	5	-0.714		
221120	5	-0.857		
221051	5	-1		
220971	5	-1.143		
220893	5	-1.286		
220814	5	-1.429		
220733	5	-1.571		
220663	5	-1.714		
220594	5	-1.857		
220519	5	-2		
220307	4.79	-2		
220082	4.58	-2		
219920	4.422	-2		
219754	4.264	-2		
219568	4.106	-2		
219401	3.948	-2		
219227	3.79	-2		
219047	3.632	-2		
218863	3.474	-2		
218692	3.316	-2		
218508	3.158	-2		
218318	3	-2		
218217	2.912	-2		
218109	2.824	-2		
218011	2.735	-2		
217906	2.647	-2		
217798	2.559	-2		
217677	2.471	-2		
217573	2.382	-2		
217465	2.294	-2		
217364	2.206	-2		
217256	2.118	-2		
217138	2.029	-2		
217029	1.941	-2		
216913	1.853	-2		
216809	1.765	-2		
216699	1.676	-2		
216601	1.588	-2		
216485	1.5	-2		
216372	1.412	-2		
216267	1.324	-2		
216152	1.235	-2		
216050	1.147	-2		
215935	1.059	-2		
215834	0.971	-2		
215717	0.882	-2		
215611	0.794	-2		
215487	0.706	-2		
215388	0.618	-2		
215264	0.529	-2		
215162	0.441	-2		
215055	0.353	-2		
214936	0.265	-2		
214827	0.176	-2		
214703	0.088	-2		
214599	0	-2		
214490	-0.088	-2		
214373	-0.176	-2		
214268	-0.265	-2		
214145	-0.353	-2		
214039	-0.441	-2		
213931	-0.529	-2		
213837	-0.618	-2		
213734	-0.706	-2		
213643	-0.794	-2		
213544	-0.882	-2		
213444	-0.971	-2		
213351	-1.059	-2		
213267	-1.147	-2		
213179	-1.235	-2		
213091	-1.324	-2		
213010	-1.412	-2		
212929	-1.5	-2		
212848	-1.588	-2		
212773	-1.676	-2		
